Name,AI Type,Commercial Type,Product,Description,Product Category,Package,Quick Filters,Availability,Identifier,Detail Page
"Easy Filter","AI Feature","Base","SAP S/4HANA Cloud Public Edition","Streamline your filtering experience in SAP Fiori elements-based list reports.","Financial Management","","","Generally Available","J91","https://discovery-center.cloud.sap/ai-feature/96cf54f4-566b-4428-916c-1e6231f0fdb2/"
"Electronic Document Error Handling","AI Feature","Base","SAP Document and Reporting Compliance","Get easy-to-understand explanations for electronic document errors with Joule.","Technology Platform","","Joule","Generally Available","J305","https://discovery-center.cloud.sap/ai-feature/1a1b66db-191d-41e6-b01d-d69b4d645850/"
"Embedded Edition","AI Feature","Premium","SAP Document AI","Automate document processing‚ workflow execution‚ and channel integration.","Technology Platform","","Featured","Generally Available","J342","https://discovery-center.cloud.sap/ai-feature/f9000cc5-4a1a-4c59-9dcd-a343c167d75d/"
"Enhanced Responses to Discovery Posting","AI Feature","Base","SAP Business Network for Procurement and Supply Chain","Generate accurate responses to buyers’ request for information.","Supply Chain Management","","","Generally Available","J990","https://discovery-center.cloud.sap/ai-feature/ec7cf891-7318-4583-8468-64ad23d605e3/"
"Enhancement of Campaign and Idea Descriptions","AI Feature","","SAP Integrated Product Development","Enhance campaign ideas and campaign descriptions.","Supply Chain Management","","","Beta","J71","https://discovery-center.cloud.sap/ai-feature/d5113c03-265d-4d5d-a12d-16df0cb4b7c8/"
"Enterprise Search","AI Feature","Base","SAP S/4HANA Cloud Public Edition","Search business data with natural language queries in SAP Fiori Launchpad.","Financial Management","","","Generally Available","J225","https://discovery-center.cloud.sap/ai-feature/ce1359ae-1f44-48ce-b9d8-6d2e73b23402/"
"Entity Extraction​","AI Feature","Premium","SAP Service Cloud Version 2","Identify‚ extract‚ and organize relevant data from business-related content.","Customer Relationship Management","Joule Premium for Customer Experience","","Generally Available","J186","https://discovery-center.cloud.sap/ai-feature/710cb274-8600-4d6c-850e-0912aab35fda/"
"Equipment Insights","AI Feature","Premium","SAP Field Service Management","Generate summary based on previous activities for a piece of equipment.","Supply Chain Management","","","Generally Available","J61","https://discovery-center.cloud.sap/ai-feature/ca488cee-68a8-47d4-885f-d778366b42ca/"
"ERP Configuration for Finance","AI Feature","Base","Concur Invoice","Auto-import and map liability account codes from your accounting system.","Spend Management","","","Generally Available","J701","https://discovery-center.cloud.sap/ai-feature/a366bdbe-3b50-4ea5-9492-8793acf08117/"
"ERP Configuration for Finance","AI Feature","Base","Concur Expense","Auto-import and map liability account codes from your accounting system.","Spend Management","","","Generally Available","J174","https://discovery-center.cloud.sap/ai-feature/f137ecf1-a099-49ab-812b-0b86802d7260/"
"Error Analysis","AI Feature","Premium","SAP Traceability Hub‚ error analysis","Analyze and resolve errors in serialization data exchange.","Technology Platform","","","Generally Available","J283","https://discovery-center.cloud.sap/ai-feature/be8326cc-f24b-4b4b-81fd-f3980762aa32/"
"Error Explanation","AI Feature","Premium","SAP S/4HANA Cloud Public Edition","Generate natural language descriptions and resolutions for error messages.","Financial Management","Joule Premium for Financial Management","","Generally Available","J227","https://discovery-center.cloud.sap/ai-feature/a6e21835-397b-402d-be1a-e92846dcc47d/"
"Error Resolution","AI Feature","","SAP Advanced Financial Closing","Resolve errors identified during financial close processes.","Financial Management","","","Beta","J87","https://discovery-center.cloud.sap/ai-feature/942e1e4b-32e0-480f-9f11-d31badf54186/"
"ESG Report Generation","AI Feature","Premium","SAP Sustainability Control Tower","Generate comprehensive sustainability reports using ESG metrics data.","Financial Management","","","Generally Available","J93","https://discovery-center.cloud.sap/ai-feature/c2b939fa-8655-446c-8d24-81e945c7ecd6/"
"Exception Management","AI Feature","Base","SAP Cell and Gene Therapy Orchestration","Detect exceptions and create alerts for users.","Supply Chain Management","","","Generally Available","J726","https://discovery-center.cloud.sap/ai-feature/72510d2b-ceec-453c-bf75-41eed7a846ae/"
"Expense Report Validation Agent","AI Agent","Base","","Get smart support to minimize errors and simplify expense submission.","Spend Management","","Joule","Early Adopter Care (EAC)","J327","https://discovery-center.cloud.sap/ai-feature/ba618aac-87c8-485d-8d3c-3338f6a8658a/"
"Experience Assessment","AI Feature","Base","SAP Fieldglass Contingent Workforce Management","How closely a job seeker's professional background aligns with a job posting.","Spend Management","","","Generally Available","J849","https://discovery-center.cloud.sap/ai-feature/7a83cedb-25ed-4ed7-af94-3e6cb1d2f85d/"
"Expiring Price Handling","AI Feature","Base","SAP S/4HANA Cloud Public Edition","Quickly detect and update all expiring prices in pricing systems with Joule.","Cloud ERP applications","","Joule","Generally Available","J313","https://discovery-center.cloud.sap/ai-feature/577815a8-947e-4a06-a961-1307ddc49242/"
"Explain Pay","AI Feature","Premium","SAP SuccessFactors Employee Central Payroll","Provide answers and explanations to questions regarding pay using Joule.","Human Capital Management","Joule Premium for Human Capital Management","Joule","Generally Available","J266","https://discovery-center.cloud.sap/ai-feature/49beea9f-592e-413b-9370-e3fb4d3efaec/"
"Explanation of Fixed Asset Depreciation Keys","AI Feature","Premium","SAP S/4HANA Cloud Public Edition","Explain depreciation types and calculation procedures in natural language.","Financial Management","Joule Premium for Financial Management","","Generally Available","J86","https://discovery-center.cloud.sap/ai-feature/15f5b518-2786-4908-953f-801172d7972a/"
"Explanation of Fixed Asset Key Figures","AI Feature","Premium","SAP S/4HANA Cloud Public Edition","Better insights into fixed asset key figures using AI-generated explanations.","Financial Management","Joule Premium for Financial Management","","Generally Available","J288","https://discovery-center.cloud.sap/ai-feature/8658cb4d-fc45-4db1-b5e3-68a63a255955/"
"Extended AI Locales","AI Feature","Premium","SAP SuccessFactors solutions","Review‚ customize‚ and enable AI-translated locales for use.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J766","https://discovery-center.cloud.sap/ai-feature/60772d47-5ec6-4d66-9d41-ae8a2b869996/"
"Failure Curve Analytics","AI Feature","Base","SAP Asset Performance Management","Predict probabilities of failures for technical objects.","Supply Chain Management","","","Generally Available","J823","https://discovery-center.cloud.sap/ai-feature/48add62d-58d0-43f4-adcd-76b404e80eed/"
"Farming Decision Framework","AI Feature","Base","SAP Intelligent Agriculture","Inject farming decision support just-in-time during farming processes.","Technology Platform","","","Generally Available","J835","https://discovery-center.cloud.sap/ai-feature/a8e9c59c-0f89-46ee-8fc9-528bd59ab4e5/"
"Field Service Dispatcher Agent","AI Agent","","","Autonomously schedule and optimize service orders.","Supply Chain Management","","Joule","Beta","J468","https://discovery-center.cloud.sap/ai-feature/9c354ba9-b021-470a-b75d-b6e7bf4405de/"
"Fixed Asset Key Figures Explanation","AI Feature","Base","SAP S/4HANA Cloud Private Edition","Understand the explanation of fixed asset key figures in natural language.","Financial Management","","New","Generally Available","J966","https://discovery-center.cloud.sap/ai-feature/780e16a7-74cf-4118-b200-c13484d2f9b5/"
"Forecast Results Analysis","AI Feature","Premium","SAP Integrated Business Planning","Explain the forecast outcome and recommend ways to improve accuracy.","Supply Chain Management","Joule Premium for Supply Chain Management","","Generally Available","J380","https://discovery-center.cloud.sap/ai-feature/891ed108-7f7b-49f6-99ec-291c2efd18a4/"
"Form Extension in Localization as a Self-Service","AI Feature","Premium","SAP S/4HANA Cloud Public Edition","Extend localized forms to meet your specific requirements.","Financial Management","Joule Premium for Financial Management","","Generally Available","J117","https://discovery-center.cloud.sap/ai-feature/f5f33f40-36d4-4265-b709-461c0c151587/"
"Form Generation","AI Feature","Base","SAP Build Process Automation","Generate process automation forms from natural language descriptions.","Technology Platform","","","Generally Available","J641","https://discovery-center.cloud.sap/ai-feature/ff9ca9a1-b443-405d-95bd-9b53a8a503db/"
"G/L Line-Item Determination","AI Feature","Base","SAP Ariba Invoicing","Auto-enrich and complete draft invoices using historical invoice data.","Spend Management","","","Generally Available","J844","https://discovery-center.cloud.sap/ai-feature/eaf5dcf1-f7aa-4104-8157-d1b72f3881b5/"
"Generation of Full-Stack Applications","AI Feature","Base","SAP Build Code","Generate full-stack applications using natural language in SAP Build Code.","Technology Platform","","Joule","Generally Available","J36","https://discovery-center.cloud.sap/ai-feature/98319fdc-fd0d-4887-bba2-a3d6a15f31ed/"
"Generation of Integrations","AI Feature","Base","SAP Integration Suite","Generate integration scenarios using natural language prompts.","Technology Platform","","","Generally Available","J92","https://discovery-center.cloud.sap/ai-feature/464fdfbe-5809-4a0a-b6e8-65c79033837d/"
"Generation of Operations Automations","AI Feature","Base","SAP Automation Pilot","Generate DevOps and SRE automation flows based on a simple prompt.","Technology Platform","","","Generally Available","J42","https://discovery-center.cloud.sap/ai-feature/be607323-864e-4898-9fe4-0be8f0440d40/"
"Generation of SAP Fiori Elements and SAPUI5 Applications","AI Feature","Base","SAP Build Code","Generate full-stack applications using  natural language in SAP Build Code.","Technology Platform","","Joule","Generally Available","J114","https://discovery-center.cloud.sap/ai-feature/08cc63b7-8fd7-4535-a9d6-f66a9030174c/"
"Generation of SAP HANA Applications","AI Feature","Base","SAP Build Code","Generate SAP HANA applications using natural language in SAP Build Code.","Technology Platform","","Joule","Generally Available","J116","https://discovery-center.cloud.sap/ai-feature/7ee277ac-20af-4458-bb5a-8836d6a51899/"
"Generation of SAP Mobile Applications","AI Feature","Base","SAP Build Code","Generate SAP Mobile applications using natural language in SAP Build Code.","Technology Platform","","Joule","Generally Available","J115","https://discovery-center.cloud.sap/ai-feature/9cd6bb5e-4178-44c2-b5b3-325c561273e4/"
"Goods Receipt Processing","AI Feature","Premium","SAP S/4HANA Cloud Private Edition","Automatically check delivery documents with AI.","Cloud ERP applications","","","Generally Available","J28","https://discovery-center.cloud.sap/ai-feature/8d54e237-4ae9-427d-859a-c3e1cd694127/"
"Hotel Receipt Itemization","AI Feature","Base","Concur Expense","Automatic itemization of hotel receipts.","Spend Management","","","Generally Available","J33","https://discovery-center.cloud.sap/ai-feature/5727f719-99ab-4f95-8a88-221bacf02525/"
"Image Generation","AI Feature","Premium","SAP CX AI Toolkit","Use AI tools for seamless product visual transformation and editing.","Customer Relationship Management","Joule Premium for Customer Experience","","Generally Available","J130","https://discovery-center.cloud.sap/ai-feature/b2f729da-d601-4ad1-a190-5498088b7fad/"
"Image Generation for Learning","AI Feature","Premium","SAP SuccessFactors Learning","Generate images more easily and effectively with AI-assistance.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J265","https://discovery-center.cloud.sap/ai-feature/b56c5f60-17d9-4215-bf06-908e3d8c990d/"
"In-house Service Initiation","AI Feature","Premium","SAP S/4HANA Cloud Private Edition","Initiate in-house services from paper-based information using AI technology.","Cloud ERP applications","Joule Premium for Supply Chain Management","","Generally Available","J240","https://discovery-center.cloud.sap/ai-feature/df0164e9-75f2-4547-80d3-586619709246/"
"Incentive and Payment Insights","AI Feature","Base","SAP Incentive Management","Get quick answers in natural language to incentive management questions.","Customer Relationship Management","","Joule","Early Adopter Care (EAC)","J192","https://discovery-center.cloud.sap/ai-feature/3fd1195b-1516-41e0-bbae-091865f28202/"
"Insights Description Generator","AI Feature","Base","SAP Signavio Process Transformation Manager","Creating clear‚ consistent‚ and business user–friendly descriptions.","Business Transformation Management","","","Generally Available","J669","https://discovery-center.cloud.sap/ai-feature/0614d66c-4e6d-42bc-b45b-135ba035d843/"
"Insights into Detailed 360 Report","AI Feature","Premium","SAP SuccessFactors Performance and Goals","Gain insights into Detailed 360 Report.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J577","https://discovery-center.cloud.sap/ai-feature/f6aa846b-238a-44c3-b3da-6faa76e8761b/"
"Intelligent Audit","AI Feature","Base","Concur Expense","Check expense reports to identify errors and compliance issues.","Spend Management","","","Generally Available","J841","https://discovery-center.cloud.sap/ai-feature/c75d552d-8cc5-400f-9cb3-abb470e4b560/"
"Intelligent Customer Profile","AI Feature","Premium","SAP CX AI Toolkit","Harness data from SAP CX to generate a summary that is easy to comprehend.","Customer Relationship Management","Joule Premium for Customer Experience","Joule","Generally Available","J13","https://discovery-center.cloud.sap/ai-feature/d37ca55c-2e9a-4ab6-a225-31d2f0760fd5/"
"Intelligent Filtering","AI Feature","Premium","SAP Field Service Management","Estimate the expected real duration of activities based on time efforts logged.","Supply Chain Management","","","Generally Available","J62","https://discovery-center.cloud.sap/ai-feature/cb3e2dbe-6c9a-4c22-972a-8339e0d7a06a/"
"Intelligent Invoice Error Classification","AI Feature","Base","SAP Business Network for Procurement and Supply Chain","Process rejected invoices submitted through the SAP Business Network.","Supply Chain Management","","","Generally Available","J106","https://discovery-center.cloud.sap/ai-feature/37100360-fb06-4794-9f31-abef001ccb39/"
"Intelligent Listings","AI Feature","Base","SAP Business Network for Procurement and Supply Chain","Generate product descriptions of suppliers’ catalog items.","Supply Chain Management","","","Generally Available","J66","https://discovery-center.cloud.sap/ai-feature/c70b8e5c-86a3-4819-abb2-3428ee11e0a2/"
"Intelligent Q&A","AI Feature","Premium","SAP CX AI Toolkit","Find answers to work-related questions by analyzing your company's content.","Customer Relationship Management","Joule Premium for Customer Experience","Joule","Generally Available","J14","https://discovery-center.cloud.sap/ai-feature/bbce9642-f71f-4e28-a338-11021c06c5a5/"
"International Trade Classification Agent","AI Agent","","","Save time and ensure compliance by automatically classify goods for shipping.","Financial Management","","","Beta","J648","https://discovery-center.cloud.sap/ai-feature/cb3aa823-c475-4f81-9730-d35d85bd55c7/"
"Interview Feedback Insights","AI Feature","Premium","SAP SuccessFactors Recruiting","Get insights into interviewer feedback and notes about a given candidate.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J270","https://discovery-center.cloud.sap/ai-feature/a3b668e4-9c02-4890-8620-1bb524c04aeb/"
"Interview Questions Generation","AI Feature","Premium","SAP SuccessFactors Recruiting","Use generative AI to provide interviewers with suggested questions.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J3","https://discovery-center.cloud.sap/ai-feature/e90b2438-e873-4759-a174-ffe5c950c88a/"
"Intrusion Detection","AI Feature","Base","SAP Customer Data Cloud","Prosecute malicious activity while ensuring a smooth UX for legitimate users.","Customer Relationship Management","","","Generally Available","J836","https://discovery-center.cloud.sap/ai-feature/f9052d5d-bc3e-4d0c-8525-7fe0eff2e2c3/"
"Inventory Builder","AI Feature","Premium","SAP LeanIX solutions","Upload and analyze data formats to auto-discover architectural elements.","Technology Platform","","","Generally Available","J178","https://discovery-center.cloud.sap/ai-feature/3b4cd740-d09d-4e79-9efc-69bf49221e83/"
"Inventory Prompts","AI Feature","Base","SAP LeanIX solutions","Support analyzes of IT application landscapes.","Technology Platform","","","Generally Available","J45","https://discovery-center.cloud.sap/ai-feature/e3e00a83-6fc7-4ec4-9763-5d62f942e193/"
"Invoice Capture","AI Feature","Base","Concur Invoice","Eliminate the hassle of paper invoices and speed up accounts payable processes.","Spend Management","","","Generally Available","J807","https://discovery-center.cloud.sap/ai-feature/71917827-81f0-4a94-9597-d1395486c865/"
"Issue Resolution Guidance","AI Feature","Base","SAP Quality Issue Resolution","Find similar processes using past cases and bundle them for efficiency.","Product Lifecycle Management","","","Generally Available","J956","https://discovery-center.cloud.sap/ai-feature/0555113a-ee74-45f8-8d8e-cca4ff5e737c/"
"Issue Resolution Guidance","AI Feature","Base","SAP Digital Manufacturing","Find similar processes using past cases and bundle them for efficiency.","Supply Chain Management","","","Generally Available","J957","https://discovery-center.cloud.sap/ai-feature/910ea3a0-20be-466d-8651-62147f5b0815/"
"Job Description Creation","AI Feature","Premium","SAP Fieldglass Contingent Workforce Management","Enhance job description with AI for efficiency and better candidate submissions.","Spend Management","Joule Premium for Spend Management","","Generally Available","J76","https://discovery-center.cloud.sap/ai-feature/c61dfef4-ec5c-4195-8736-116bc96c1abe/"
"Job Description Enhancement","AI Feature","Premium","SAP SuccessFactors Recruiting","Generate enhanced job descriptions using generative AI.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J1","https://discovery-center.cloud.sap/ai-feature/1d925a29-4254-4fcc-9726-2ade8885d242/"
"Job Description Translation","AI Feature","Premium","SAP Fieldglass Contingent Workforce Management","Simplify job requirement communication using AI-enhanced translation.","Spend Management","Joule Premium for Spend Management","","Generally Available","J75","https://discovery-center.cloud.sap/ai-feature/0f6e0fdc-de01-4ab9-9db9-702ee0a927ae/"
"Job Skills on Career Sites","AI Feature","Premium","SAP SuccessFactors Recruiting","Allows to upload a resume on career sites and receive job recommendations.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J773","https://discovery-center.cloud.sap/ai-feature/fda4fbef-a125-48bf-ade6-6fbf21dc91d9/"
"Joule and Microsoft 365 Copilot","AI Feature","Base","Joule","Bi-directional integration between Joule and Microsoft 365 Copilot.","Technology Platform","","Joule","Generally Available","J762","https://discovery-center.cloud.sap/ai-feature/4dfa3fea-c5d2-40e3-959d-317b07b6b64e/"
"Joule for developers‚ ABAP AI capabilities","AI Feature","Base","SAP S/4HANA Cloud Public Edition","Accelerate ABAP development with Joule.","Financial Management","","Joule","Generally Available","J792","https://discovery-center.cloud.sap/ai-feature/3c06a28b-576b-47ba-a2be-de0588391d6a/"
"Joule for developers‚ ABAP AI capabilities","AI Feature","Base","SAP S/4HANA Cloud Private Edition","Accelerate ABAP development with Joule.","Financial Management","","Joule","Generally Available","J1195","https://discovery-center.cloud.sap/ai-feature/795cf9fa-d0cc-42b0-a3d7-52e8067e847d/"
"Joule for developers‚ ABAP AI capabilities","AI Feature","Base","SAP BTP‚ ABAP environment","Accelerate ABAP development with Joule.","Technology Platform","","Joule","Generally Available","J162","https://discovery-center.cloud.sap/ai-feature/7f373198-9a41-4416-9eed-bdfca445d37a/"
"Joule Q&A","AI Feature","Base","SAP SuccessFactors solutions","Get answers about an organization’s HR policy documents.","Human Capital Management","","Joule","Generally Available","J69","https://discovery-center.cloud.sap/ai-feature/a1bff183-cd0b-4671-bf79-989b9bae42a2/"
"Joule with Concur solutions","AI Feature","Base","Concur solutions","Get smart support to minimize errors and simplify expense submission.","Spend Management","","Joule","Generally Available","J171","https://discovery-center.cloud.sap/ai-feature/d606b980-bcf2-4258-8153-f2ea05dd0730/"
"Joule with Regulatory Change Manager","AI Feature","Base","Regulatory Change Manager","Discover and evaluate regulatory updates and maintain compliance.","Technology Platform","","Joule","Generally Available","J85","https://discovery-center.cloud.sap/ai-feature/90b39e72-5dd5-4ae1-aef1-840c6e1ff6b2/"
"Joule with SAP Ariba solutions","AI Feature","Base","SAP Ariba solutions","Streamline your informational‚ navigational‚ and transactional tasks.","Spend Management","","Joule","Generally Available","J158","https://discovery-center.cloud.sap/ai-feature/4db522da-c249-46e3-9e0c-af03f663aba0/"
"Joule with SAP Asset Performance Management","AI Feature","Base","SAP Asset Performance Management","Get quick answers based on product documentation.","Supply Chain Management","","Joule","Generally Available","J107","https://discovery-center.cloud.sap/ai-feature/4bb1fe03-5a2a-419a-a224-a5b40640903d/"
"Joule with SAP Build Work Zone","AI Feature","Base","SAP Build Work Zone","Interact with SAP apps and Work Zone via natural language for instant actions.","Technology Platform","","Joule","Generally Available","J145","https://discovery-center.cloud.sap/ai-feature/8be96d98-f16d-41b4-968c-c295043c1d73/"
"Joule with SAP Business Technology Platform","AI Feature","Base","SAP Business Technology Platform","Quickly retrieve information about SAP BTP and your accounts with Joule.","Technology Platform","","Joule","Generally Available","J57","https://discovery-center.cloud.sap/ai-feature/9c079680-7938-4ddd-83c4-3d89a7943311/"
"Joule with SAP Datasphere","AI Feature","Base","SAP Datasphere","Streamline your SAP Datasphere tasks with an AI copilot.","Technology Platform","","Joule","Early Adopter Care (EAC)","J294","https://discovery-center.cloud.sap/ai-feature/a2bc2dd0-4f0b-4d82-9f94-c3baaac6c83b/"
"Joule with SAP Digital Manufacturing","AI Feature","Base","SAP Digital Manufacturing","Get quick answers based on product documentation.","Supply Chain Management","","Joule","Generally Available","J286","https://discovery-center.cloud.sap/ai-feature/edf06dbd-9d29-45b2-93d0-8399c7c34efa/"
"Joule with SAP Enterprise Service Management","AI Feature","Base","SAP Enterprise Service Management","Provide service agents instant access to customer‚ supplier‚ and employee info.","Customer Relationship Management","","Joule","Early Adopter Care (EAC)","J335","https://discovery-center.cloud.sap/ai-feature/e8539290-4654-40f0-9f33-872ed9a12649/"
"Joule with SAP Field Service Management","AI Feature","Base","SAP Field Service Management","Streamline dispatching processes with Joule.","Supply Chain Management","","Joule","Early Adopter Care (EAC)","J197","https://discovery-center.cloud.sap/ai-feature/d29fce2c-4564-49bf-b633-cbc63ee427d7/"
"Joule with SAP Fieldglass solutions","AI Feature","Base","SAP Fieldglass solutions","Enhance efficiencies across hiring processes with AI in SAP Fieldglass.","Technology Platform","","Joule","Early Adopter Care (EAC)","J257","https://discovery-center.cloud.sap/ai-feature/e52e6bbc-3b09-4a73-8829-c4ecdeff8560/"
"Joule with SAP Integrated Business Planning","AI Feature","Base","SAP Integrated Business Planning","Get quick answers based on product documentation.","Supply Chain Management","","Joule","Generally Available","J104","https://discovery-center.cloud.sap/ai-feature/7ce53ab4-0c98-44fd-9d6a-5e76fef797fc/"
"Joule with SAP Integrated Product Development","AI Feature","Base","SAP Integrated Product Development","Find and navigate to apps‚ get quick answers based on product documentation.","Product Lifecycle Management","","Joule","Generally Available","J105","https://discovery-center.cloud.sap/ai-feature/c1d90ed6-8b3d-4e77-8750-d5d15a0e7c91/"
"Joule with SAP Intelligent Clinical Supply Management","AI Feature","Base","SAP Intelligent Clinical Supply Management","Streamline navigational and informational tasks with Joule.","Supply Chain Management","","Joule","Generally Available","J332","https://discovery-center.cloud.sap/ai-feature/5bc0fbcf-4ce3-48dc-8375-8d2fdb40bc21/"
"Joule with SAP LeanIX","AI Feature","Base","SAP LeanIX solutions","Search and navigate to the right information through natural language queries.","Technology Platform","","Joule","Early Adopter Care (EAC)","J284","https://discovery-center.cloud.sap/ai-feature/afef2f21-b812-4548-ab8a-cec5f8fedb10/"
"Joule with SAP Logistics Management","AI Feature","Base","SAP Logistics Management","Simplify warehouse and transportation planning operations with natural language.","Supply Chain Management","","Joule","Generally Available","J1169","https://discovery-center.cloud.sap/ai-feature/60b3ce58-4697-4c44-a5a6-c1649dc67aff/"
"Joule with SAP Mobile Start","AI Feature","Base","SAP Mobile Start","Interact with SAP apps in natural language via a smartphone or a tablet.","Technology Platform","","Joule","Generally Available","J761","https://discovery-center.cloud.sap/ai-feature/0a10277a-3dfa-4e8d-b287-2d92a9554b54/"
"Joule with SAP Multi-Bank Connectivity","AI Feature","Base","SAP Multi-Bank Connectivity","Get quick answers about SAP Multi-Bank Connectivity from product documentation.","Financial Management","","Joule","Generally Available","J600","https://discovery-center.cloud.sap/ai-feature/5cd6a2a6-c3ba-4bf6-9111-5e2f95757a69/"
"Joule with SAP Risk and Assurance Management","AI Feature","Base","SAP Risk and Assurance Management","Joule provides intuitive navigation and access to relevant enablement content.","Financial Management","","Joule","Generally Available","J731","https://discovery-center.cloud.sap/ai-feature/42df6303-500a-46c4-93a6-ecb2d44e85dd/"
"Joule with SAP S/4HANA Cloud Private Edition","AI Feature","Base","SAP S/4HANA Cloud Private Edition","Streamline your informational‚ navigational‚ and transactional tasks.","Financial Management","","Joule","Generally Available","J54","https://discovery-center.cloud.sap/ai-feature/98ee8608-82bb-49c3-b4ca-805bd6594314/"
"Joule with SAP S/4HANA Cloud Public Edition","AI Feature","Base","SAP S/4HANA Cloud Public Edition","Streamline your informational‚ navigational‚ and transactional tasks.","Financial Management","","Joule","Generally Available","J74","https://discovery-center.cloud.sap/ai-feature/59d61974-9d59-4e32-9026-189462bbf54f/"
"Joule with SAP Sales Cloud Version 2","AI Feature","Base","SAP Sales Cloud Version 2","Enable your sales teams to win deals.","Customer Relationship Management","","Joule","Early Adopter Care (EAC)","J760","https://discovery-center.cloud.sap/ai-feature/c93d21db-bf17-402d-99a5-463865957e7f/"
"Joule with SAP Service Cloud Version 2","AI Feature","Base","SAP Service Cloud Version 2","Provide service agents instant access to customer information.","Customer Relationship Management","","Joule","Early Adopter Care (EAC)","J333","https://discovery-center.cloud.sap/ai-feature/a7284cf2-cc3a-48aa-b286-42e57b5068b4/"
"Joule with SAP Signavio solutions","AI Feature","Base","SAP Signavio solutions","Elevate your organization's process management and optimization.","Business Transformation Management","","Joule","Generally Available","J127","https://discovery-center.cloud.sap/ai-feature/c1ed93ca-2efd-4096-8300-613adf55cfef/"
"Joule with SAP SuccessFactors solutions","AI Feature","Base","SAP SuccessFactors solutions","Elevate the employee experience with an AI copilot.","Human Capital Management","","Joule","Generally Available","J19","https://discovery-center.cloud.sap/ai-feature/d513b99f-7ec5-40ba-9e8d-7d9858ba7dca/"
"Journal Upload","AI Feature","Premium","SAP S/4HANA Cloud Private Edition","Accelerate period-end journal entries.","Financial Management","Joule Premium for Financial Management","","Generally Available","J247","https://discovery-center.cloud.sap/ai-feature/be5c57fd-4b09-436f-8a63-16362fce5547/"
"Knowledge Creation Agent","AI Agent","Premium","","Create knowledge base articles based on customer tickets.","Customer Relationship Management","Joule Premium for Customer Experience","Featured","Generally Available","J938","https://discovery-center.cloud.sap/ai-feature/275ab5f1-2276-401b-bd37-6b034efde8e3/"
"Knowledge Indexing","AI Feature","Premium","SAP CX AI Toolkit","AI-powered data indexing for features and agents based on SAP CX AI Toolkit.","Customer Relationship Management","","Featured","Generally Available","J961","https://discovery-center.cloud.sap/ai-feature/f5d00884-5256-4af7-b92c-651c4419a709/"
"Lead Booster","AI Feature","Premium","SAP Sales Cloud Version 2","Increase lead generation effectiveness.","Customer Relationship Management","Joule Premium for Customer Experience","Featured","Generally Available","J6","https://discovery-center.cloud.sap/ai-feature/13f8f984-4e7d-4f29-8e10-88ec87c4ebe7/"
"Lead Intelligence","AI Feature","Base","SAP Sales Cloud Version 2","Identify open leads that have a high potential of conversion.","Customer Relationship Management","","","Generally Available","J796","https://discovery-center.cloud.sap/ai-feature/b8a09223-a2b7-48fd-ada8-430f043c2e31/"
"Lead Time Master Data Management","AI Feature","Base","SAP Integrated Business Planning","Detect and manage changes in dynamic master data‚ specifically lead time.","Supply Chain Management","","","Generally Available","J49","https://discovery-center.cloud.sap/ai-feature/00dc5f4d-fec2-49f0-baf0-8f80024550f0/"
"Machine Learning Alerts","AI Feature","Base","SAP Integrated Business Planning","Prevent supply chain issues before they happen.","Supply Chain Management","","","Generally Available","J821","https://discovery-center.cloud.sap/ai-feature/059ce559-77a9-46d7-855b-b193363ee268/"
"Machine Translation","AI Feature","Base","SAP Enterprise Service Management","Use machine translation to translate emails.","Customer Relationship Management","","","Generally Available","J813","https://discovery-center.cloud.sap/ai-feature/b42f0ef7-0fda-4615-ae3e-998bbd5e2bd1/"
"Machine Translation","AI Feature","Base","SAP Service Cloud Version 2","Use machine translation to translate emails.","Customer Relationship Management","","","Generally Available","J853","https://discovery-center.cloud.sap/ai-feature/500b5829-a388-4f10-b629-c0b0eea3820e/"
"Maintenance Order Recommendation","AI Feature","Premium","SAP S/4HANA Cloud Private Edition","Get maintenance order recommendations from historical data.","Cloud ERP applications","Joule Premium for Supply Chain Management","","Generally Available","J241","https://discovery-center.cloud.sap/ai-feature/d2a47a4f-3ea2-4f5b-9bdf-43fc2a3d95f2/"
"Maintenance Planner Agent","AI Agent","","","Avoid disruptions with real-time insights‚ smart updates‚ and planning support.","Technology Platform","","Joule","Beta","J424","https://discovery-center.cloud.sap/ai-feature/8b3daa3f-7a07-4a62-8d23-20e13d00aea4/"
"Market Dynamics Chart Plotting","AI Feature","Premium","SAP Ariba Category Management","Generate content recommendations based on AI.","Spend Management","Joule Premium for Spend Management","","Generally Available","J23","https://discovery-center.cloud.sap/ai-feature/0b25207e-a9d9-4ffc-9e33-711d7a42eabb/"
"Master Data Consistency","AI Feature","Base","SAP Integrated Business Planning","Discover patterns in your master data.","Supply Chain Management","","","Generally Available","J819","https://discovery-center.cloud.sap/ai-feature/e32a154a-933b-400c-996f-c3b823393247/"
